state,district,market,commodity,variety,arrivals_quantity,unit,date,source,arrivals_7d_avg,arrival_trend
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-06-27,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-06-28,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-06-29,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-06-30,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-01,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-02,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-03,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-04,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-05,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-06,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-07,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-08,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-09,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-10,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-11,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-12,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,STABLE
