record_id,market_id,market_name,state,district,commodity,standard_commodity,variety,min_price,modal_price,max_price,standard_unit,date,source
AGM00001,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-06-27,AGMARKNET-attributed observed market data
AGM00002,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-06-28,AGMARKNET-attributed observed market data
AGM00003,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-06-29,AGMARKNET-attributed observed market data
AGM00004,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-06-30,AGMARKNET-attributed observed market data
AGM00005,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-01,AGMARKNET-attributed observed market data
AGM00006,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-02,AGMARKNET-attributed observed market data
AGM00007,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-03,AGMARKNET-attributed observed market data
AGM00008,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-04,AGMARKNET-attributed observed market data
AGM00009,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-05,AGMARKNET-attributed observed market data
AGM00010,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-06,AGMARKNET-attributed observed market data
AGM00011,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-07,AGMARKNET-attributed observed market data
AGM00012,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-08,AGMARKNET-attributed observed market data
AGM00013,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-09,AGMARKNET-attributed observed market data
AGM00014,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-10,AGMARKNET-attributed observed market data
AGM00015,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-11,AGMARKNET-attributed observed market data
AGM00016,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-12,AGMARKNET-attributed observed market data
AGM00017,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-13,AGMARKNET-attributed observed market data
AGM00018,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-14,AGMARKNET-attributed observed market data
AGM00019,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-15,AGMARKNET-attributed observed market data
AGM00020,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-16,AGMARKNET-attributed observed market data
AGM00021,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-17,AGMARKNET-attributed observed market data
AGM00022,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-18,AGMARKNET-attributed observed market data
AGM00023,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-19,AGMARKNET-attributed observed market data
AGM00024,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-20,AGMARKNET-attributed observed market data
AGM00025,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-21,AGMARKNET-attributed observed market data
AGM00026,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-22,AGMARKNET-attributed observed market data
AGM00027,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-23,AGMARKNET-attributed observed market data
AGM00028,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-24,AGMARKNET-attributed observed market data
AGM00029,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-25,AGMARKNET-attributed observed market data
AGM00030,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-26,AGMARKNET-attributed observed market data
AGM00031,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-27,AGMARKNET-attributed observed market data
AGM00032,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-28,AGMARKNET-attributed observed market data
AGM00033,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-29,AGMARKNET-attributed observed market data
AGM00034,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-30,AGMARKNET-attributed observed market data
AGM00035,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-31,AGMARKNET-attributed observed market data
AGM00036,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-01,AGMARKNET-attributed observed market data
AGM00037,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-02,AGMARKNET-attributed observed market data
AGM00038,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-03,AGMARKNET-attributed observed market data
AGM00039,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-04,AGMARKNET-attributed observed market data
AGM00040,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-05,AGMARKNET-attributed observed market data
AGM00041,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-06,AGMARKNET-attributed observed market data
AGM00042,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-07,AGMARKNET-attributed observed market data
AGM00043,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-08,AGMARKNET-attributed observed market data
AGM00044,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-09,AGMARKNET-attributed observed market data
AGM00045,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-10,AGMARKNET-attributed observed market data
AGM00046,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-11,AGMARKNET-attributed observed market data
AGM00047,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-12,AGMARKNET-attributed observed market data
AGM00048,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-13,AGMARKNET-attributed observed market data
AGM00049,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-14,AGMARKNET-attributed observed market data
AGM00050,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-08-15,AGMARKNET-attributed observed market data
AGM00051,M004,Lasalgaon(Vinchur) APMC,Maharashtra,Nashik,Onion,Onion,Unhali,600,2050,2500,Quintal,2026-07-07,AGMARKNET-attributed observed market data
AGM00052,M004,Lasalgaon(Vinchur) APMC,Maharashtra,Nashik,Onion,Onion,Unhali,600,2050,2500,Quintal,2026-07-08,AGMARKNET-attributed observed market data
AGM00053,M004,Lasalgaon(Vinchur) APMC,Maharashtra,Nashik,Onion,Onion,Unhali,600,2050,2500,Quintal,2026-07-09,AGMARKNET-attributed observed market data
AGM00054,M004,Lasalgaon(Vinchur) APMC,Maharashtra,Nashik,Onion,Onion,Unhali,600,2050,2500,Quintal,2026-07-10,AGMARKNET-attributed observed market data
