state,district,market,commodity,variety,arrivals_quantity,unit,date,source,arrivals_7d_avg,arrival_trend
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-06-27,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.22,ABOVE_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2201.83,Quintal,2026-06-29,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2212.02,BELOW_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-06-30,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2215.42,ABOVE_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-01,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2217.12,ABOVE_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2242.99,Quintal,2026-07-02,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.3,ABOVE_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-03,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.28,BELOW_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2181.03,Quintal,2026-07-04,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2216.39,BELOW_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2181.82,Quintal,2026-07-06,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2210.62,BELOW_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2181.82,Quintal,2026-07-07,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2207.76,BELOW_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2173.91,Quintal,2026-07-08,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2200.86,BELOW_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-09,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2200.86,ABOVE_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2352.02,Quintal,2026-07-10,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2216.43,ABOVE_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2263.3,Quintal,2026-07-11,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2222.3,ABOVE_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-13,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2228.19,BELOW_7D_AVG
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2242.99,Quintal,2026-07-14,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS,2236.93,ABOVE_7D_AVG
