record_id,market_id,market_name,commodity,date,modal_price,modal_price_7d_avg,modal_price_14d_avg,price_change_7d,price_trend,volatility_14d
AGM00001,M001,Lasalgaon APMC,Onion,2026-06-27,2200,2200.0,2200.0,,Stable,
AGM00002,M001,Lasalgaon APMC,Onion,2026-06-29,2225,2212.5,2212.5,,Stable,17.68
AGM00003,M001,Lasalgaon APMC,Onion,2026-06-30,2200,2208.33,2208.33,,Stable,14.43
AGM00004,M001,Lasalgaon APMC,Onion,2026-07-01,2200,2206.25,2206.25,,Stable,12.5
AGM00005,M001,Lasalgaon APMC,Onion,2026-07-02,2175,2200.0,2200.0,,Stable,17.68
AGM00006,M001,Lasalgaon APMC,Onion,2026-07-03,2200,2200.0,2200.0,,Stable,15.81
AGM00007,M001,Lasalgaon APMC,Onion,2026-07-04,2251,2207.29,2207.29,,Stable,24.08
AGM00008,M001,Lasalgaon APMC,Onion,2026-07-06,2250,2214.43,2212.62,50.0,Increasing,26.93
AGM00009,M001,Lasalgaon APMC,Onion,2026-07-07,2250,2218.0,2216.78,25.0,Increasing,28.1
AGM00010,M001,Lasalgaon APMC,Onion,2026-07-08,2260,2226.57,2221.1,60.0,Increasing,29.81
AGM00011,M001,Lasalgaon APMC,Onion,2026-07-09,2200,2226.57,2219.18,0.0,Stable,28.99
AGM00012,M001,Lasalgaon APMC,Onion,2026-07-10,2051,2208.86,2205.17,-124.0,Decreasing,55.87
AGM00013,M001,Lasalgaon APMC,Onion,2026-07-11,2151,2201.86,2201.0,-49.0,Decreasing,55.56
AGM00014,M001,Lasalgaon APMC,Onion,2026-07-13,2200,2194.57,2200.93,-51.0,Decreasing,53.38
AGM00015,M001,Lasalgaon APMC,Onion,2026-07-14,2175,2183.86,2199.14,-75.0,Decreasing,53.83
AGM00016,M001,Lasalgaon APMC,Onion,2026-07-15,2200,2176.71,2197.36,-50.0,Decreasing,53.32
AGM00017,M001,Lasalgaon APMC,Onion,2026-07-16,2370,2192.43,2209.5,110.0,Increasing,70.54
AGM00018,M001,Lasalgaon APMC,Onion,2026-07-17,2250,2199.57,2213.07,50.0,Increasing,71.29
AGM00019,M001,Lasalgaon APMC,Onion,2026-07-18,2200,2220.86,2214.86,149.0,Increasing,70.57
AGM00020,M001,Lasalgaon APMC,Onion,2026-07-20,2150,2220.71,2211.29,-1.0,Decreasing,72.61
AGM00021,M001,Lasalgaon APMC,Onion,2026-07-21,2051,2199.43,2197.0,-149.0,Decreasing,83.11
AGM00022,M001,Lasalgaon APMC,Onion,2026-07-22,2050,2181.57,2182.71,-125.0,Decreasing,90.19
AGM00023,M001,Lasalgaon APMC,Onion,2026-07-23,2100,2167.29,2172.0,-100.0,Decreasing,90.49
AGM00024,M001,Lasalgaon APMC,Onion,2026-07-24,2100,2128.71,2160.57,-270.0,Decreasing,88.61
AGM00025,M001,Lasalgaon APMC,Onion,2026-07-27,2100,2107.29,2153.43,-150.0,Decreasing,89.21
AGM00026,M001,Lasalgaon APMC,Onion,2026-07-28,2110,2094.43,2157.64,-90.0,Decreasing,85.31
AGM00027,M001,Lasalgaon APMC,Onion,2026-07-29,2000,2073.0,2146.86,-150.0,Decreasing,95.19
AGM00028,M001,Lasalgaon APMC,Onion,2026-07-30,2151,2087.29,2143.36,100.0,Increasing,93.98
AGM00029,M001,Lasalgaon APMC,Onion,2026-07-31,2100,2094.43,2138.0,50.0,Increasing,94.17
AGM00030,M001,Lasalgaon APMC,Onion,2026-08-01,2050,2087.29,2127.29,-50.0,Decreasing,95.1
AGM00031,M001,Lasalgaon APMC,Onion,2026-08-04,2200,2101.57,2115.14,100.0,Increasing,69.0
AGM00032,M001,Lasalgaon APMC,Onion,2026-08-06,2251,2123.14,2115.21,151.0,Increasing,69.15
AGM00033,M001,Lasalgaon APMC,Onion,2026-08-07,2200,2136.0,2115.21,90.0,Increasing,69.15
AGM00034,M001,Lasalgaon APMC,Onion,2026-08-08,2180,2161.71,2117.36,180.0,Increasing,70.76
AGM00035,M001,Lasalgaon APMC,Onion,2026-08-10,2375,2193.71,2140.5,224.0,Increasing,95.9
AGM00036,M001,Lasalgaon APMC,Onion,2026-08-12,2685,2277.29,2185.86,585.0,Increasing,170.76
AGM00037,M001,Lasalgaon APMC,Onion,2026-08-13,2825,2388.0,2237.64,775.0,Increasing,239.01
AGM00038,M001,Lasalgaon APMC,Onion,2026-08-14,2870,2483.71,2292.64,670.0,Increasing,288.39
AGM00039,M001,Lasalgaon APMC,Onion,2026-08-17,3360,2642.14,2382.64,1109.0,Increasing,399.03
AGM00040,M001,Lasalgaon APMC,Onion,2026-08-18,3700,2856.43,2496.21,1500.0,Increasing,522.6
AGM00041,M001,Lasalgaon APMC,Onion,2026-08-19,3600,3059.29,2610.5,1420.0,Increasing,577.78
AGM00042,M001,Lasalgaon APMC,Onion,2026-08-20,3551,3227.29,2710.5,1176.0,Increasing,612.26
AGM00043,M001,Lasalgaon APMC,Onion,2026-08-21,3700,3372.29,2824.79,1015.0,Increasing,638.31
AGM00044,M001,Lasalgaon APMC,Onion,2026-08-22,3951,3533.14,2960.57,1126.0,Increasing,662.55
AGM00045,,Lasalgaon(Vinchur) APMC,Onion,2026-07-07,2250,,,,Stable,
AGM00046,,Lasalgaon(Vinchur) APMC,Onion,2026-07-08,2250,,,,Stable,
AGM00047,,Lasalgaon(Vinchur) APMC,Onion,2026-07-09,2200,,,,Stable,
AGM00048,,Lasalgaon(Vinchur) APMC,Onion,2026-07-10,2150,,,,Stable,
AGM00049,,Lasalgaon(Vinchur) APMC,Onion,2026-07-11,2150,,,,Stable,
AGM00050,,Lasalgaon(Vinchur) APMC,Onion,2026-07-13,2150,,,,Stable,
AGM00051,,Lasalgaon(Vinchur) APMC,Onion,2026-07-14,2200,,,,Stable,
AGM00052,,Lasalgaon(Vinchur) APMC,Onion,2026-07-15,2150,,,,Stable,
AGM00053,,Lasalgaon(Vinchur) APMC,Onion,2026-07-16,2200,,,,Stable,
AGM00054,,Lasalgaon(Vinchur) APMC,Onion,2026-07-17,2200,,,,Stable,
AGM00055,,Lasalgaon(Vinchur) APMC,Onion,2026-07-18,2150,,,,Stable,
AGM00056,,Lasalgaon(Vinchur) APMC,Onion,2026-07-20,2100,,,,Stable,
AGM00057,,Lasalgaon(Vinchur) APMC,Onion,2026-07-21,2025,,,,Stable,
AGM00058,,Lasalgaon(Vinchur) APMC,Onion,2026-07-22,2000,,,,Stable,
AGM00059,,Lasalgaon(Vinchur) APMC,Onion,2026-07-23,2050,,,,Stable,
AGM00060,,Lasalgaon(Vinchur) APMC,Onion,2026-07-24,2050,,,,Stable,
AGM00061,,Lasalgaon(Vinchur) APMC,Onion,2026-07-27,2100,,,,Stable,
AGM00062,,Lasalgaon(Vinchur) APMC,Onion,2026-07-28,2050,,,,Stable,
AGM00063,,Lasalgaon(Vinchur) APMC,Onion,2026-07-29,2000,,,,Stable,
AGM00064,,Lasalgaon(Vinchur) APMC,Onion,2026-07-30,2050,,,,Stable,
AGM00065,,Lasalgaon(Vinchur) APMC,Onion,2026-07-31,2050,,,,Stable,
AGM00066,,Lasalgaon(Vinchur) APMC,Onion,2026-08-03,2100,,,,Stable,
AGM00067,,Lasalgaon(Vinchur) APMC,Onion,2026-08-04,2150,,,,Stable,
AGM00068,,Lasalgaon(Vinchur) APMC,Onion,2026-08-05,2125,,,,Stable,
AGM00069,,Lasalgaon(Vinchur) APMC,Onion,2026-08-06,2200,,,,Stable,
AGM00070,,Lasalgaon(Vinchur) APMC,Onion,2026-08-07,2150,,,,Stable,
AGM00071,,Lasalgaon(Vinchur) APMC,Onion,2026-08-08,2200,,,,Stable,
AGM00072,,Lasalgaon(Vinchur) APMC,Onion,2026-08-10,2300,,,,Stable,
AGM00073,,Lasalgaon(Vinchur) APMC,Onion,2026-08-11,2475,,,,Stable,
AGM00074,,Lasalgaon(Vinchur) APMC,Onion,2026-08-12,2575,,,,Stable,
AGM00075,,Lasalgaon(Vinchur) APMC,Onion,2026-08-13,2775,,,,Stable,
AGM00076,,Lasalgaon(Vinchur) APMC,Onion,2026-08-14,2900,,,,Stable,
AGM00077,,Lasalgaon(Vinchur) APMC,Onion,2026-08-17,3250,,,,Stable,
AGM00078,,Lasalgaon(Vinchur) APMC,Onion,2026-08-18,3700,,,,Stable,
AGM00079,,Lasalgaon(Vinchur) APMC,Onion,2026-08-19,3600,,,,Stable,
AGM00080,,Lasalgaon(Vinchur) APMC,Onion,2026-08-20,3450,,,,Stable,
AGM00081,,Lasalgaon(Vinchur) APMC,Onion,2026-08-21,3600,,,,Stable,
AGM00082,,Lasalgaon(Vinchur) APMC,Onion,2026-08-22,3700,,,,Stable,
AGM00083,,Lasalgaon(Vinchur) APMC,Onion,2026-08-24,4300,,,,Stable,
AGM00084,,Lasalgaon(Vinchur) APMC,Onion,2026-08-25,4000,,,,Stable,
