record_id,state,district,apmc,commodity,commodity_variety,min_price,modal_price,max_price,commodity_arrivals,commodity_traded,unit,date,source,ingested_at
AGM00001,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2200,2551,,,Quintal,2026-06-27,AGMARKNET-attributed observed market data,2026-08-26
AGM00002,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2225,2626,,,Quintal,2026-06-29,AGMARKNET-attributed observed market data,2026-08-26
AGM00003,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,800,2200,2652,,,Quintal,2026-06-30,AGMARKNET-attributed observed market data,2026-08-26
AGM00004,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,800,2200,2640,,,Quintal,2026-07-01,AGMARKNET-attributed observed market data,2026-08-26
AGM00005,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2175,2740,,,Quintal,2026-07-02,AGMARKNET-attributed observed market data,2026-08-26
AGM00006,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2200,2700,,,Quintal,2026-07-03,AGMARKNET-attributed observed market data,2026-08-26
AGM00007,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,800,2251,2700,,,Quintal,2026-07-04,AGMARKNET-attributed observed market data,2026-08-26
AGM00008,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,800,2250,2753,,,Quintal,2026-07-06,AGMARKNET-attributed observed market data,2026-08-26
AGM00009,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2250,2700,,,Quintal,2026-07-07,AGMARKNET-attributed observed market data,2026-08-26
AGM00010,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2260,2700,,,Quintal,2026-07-08,AGMARKNET-attributed observed market data,2026-08-26
AGM00011,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2200,2700,,,Quintal,2026-07-09,AGMARKNET-attributed observed market data,2026-08-26
AGM00012,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,600,2051,2651,,,Quintal,2026-07-10,AGMARKNET-attributed observed market data,2026-08-26
AGM00013,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2151,2591,,,Quintal,2026-07-11,AGMARKNET-attributed observed market data,2026-08-26
AGM00014,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2200,2700,,,Quintal,2026-07-13,AGMARKNET-attributed observed market data,2026-08-26
AGM00015,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2175,2701,,,Quintal,2026-07-14,AGMARKNET-attributed observed market data,2026-08-26
AGM00016,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2200,2706,,,Quintal,2026-07-15,AGMARKNET-attributed observed market data,2026-08-26
AGM00017,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,800,2370,2801,,,Quintal,2026-07-16,AGMARKNET-attributed observed market data,2026-08-26
AGM00018,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2250,2651,,,Quintal,2026-07-17,AGMARKNET-attributed observed market data,2026-08-26
AGM00019,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2200,2680,,,Quintal,2026-07-18,AGMARKNET-attributed observed market data,2026-08-26
AGM00020,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2150,2800,,,Quintal,2026-07-20,AGMARKNET-attributed observed market data,2026-08-26
AGM00021,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,600,2051,2590,,,Quintal,2026-07-21,AGMARKNET-attributed observed market data,2026-08-26
AGM00022,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,600,2050,2601,,,Quintal,2026-07-22,AGMARKNET-attributed observed market data,2026-08-26
AGM00023,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,600,2100,2602,,,Quintal,2026-07-23,AGMARKNET-attributed observed market data,2026-08-26
AGM00024,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,600,2100,2601,,,Quintal,2026-07-24,AGMARKNET-attributed observed market data,2026-08-26
AGM00025,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2100,2600,,,Quintal,2026-07-27,AGMARKNET-attributed observed market data,2026-08-26
AGM00026,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2110,2600,,,Quintal,2026-07-28,AGMARKNET-attributed observed market data,2026-08-26
AGM00027,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,600,2000,2570,,,Quintal,2026-07-29,AGMARKNET-attributed observed market data,2026-08-26
AGM00028,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2151,2470,,,Quintal,2026-07-30,AGMARKNET-attributed observed market data,2026-08-26
AGM00029,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2100,2471,,,Quintal,2026-07-31,AGMARKNET-attributed observed market data,2026-08-26
AGM00030,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,600,2050,2399,,,Quintal,2026-08-01,AGMARKNET-attributed observed market data,2026-08-26
AGM00031,Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,700,2200,2651,,,Quintal,2026-08-04,AGMARKNET-attributed observed market data,2026-08-26
