record_id,market_id,market_name,state,district,commodity,standard_commodity,variety,min_price,modal_price,max_price,standard_unit,date,source
AGM00001,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2551,Quintal,2026-06-27,AGMARKNET-attributed observed market data
AGM00002,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2225,2626,Quintal,2026-06-29,AGMARKNET-attributed observed market data
AGM00003,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,800,2200,2652,Quintal,2026-06-30,AGMARKNET-attributed observed market data
AGM00004,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,800,2200,2640,Quintal,2026-07-01,AGMARKNET-attributed observed market data
AGM00005,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2175,2740,Quintal,2026-07-02,AGMARKNET-attributed observed market data
AGM00006,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-03,AGMARKNET-attributed observed market data
AGM00007,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,800,2251,2700,Quintal,2026-07-04,AGMARKNET-attributed observed market data
AGM00008,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,800,2250,2753,Quintal,2026-07-06,AGMARKNET-attributed observed market data
AGM00009,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2250,2700,Quintal,2026-07-07,AGMARKNET-attributed observed market data
AGM00010,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2260,2700,Quintal,2026-07-08,AGMARKNET-attributed observed market data
AGM00011,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-09,AGMARKNET-attributed observed market data
AGM00012,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,600,2051,2651,Quintal,2026-07-10,AGMARKNET-attributed observed market data
AGM00013,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2151,2591,Quintal,2026-07-11,AGMARKNET-attributed observed market data
AGM00014,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2700,Quintal,2026-07-13,AGMARKNET-attributed observed market data
AGM00015,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2175,2701,Quintal,2026-07-14,AGMARKNET-attributed observed market data
AGM00016,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2706,Quintal,2026-07-15,AGMARKNET-attributed observed market data
AGM00017,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,800,2370,2801,Quintal,2026-07-16,AGMARKNET-attributed observed market data
AGM00018,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2250,2651,Quintal,2026-07-17,AGMARKNET-attributed observed market data
AGM00019,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2200,2680,Quintal,2026-07-18,AGMARKNET-attributed observed market data
AGM00020,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700,2150,2800,Quintal,2026-07-20,AGMARKNET-attributed observed market data
AGM00021,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,600,2051,2590,Quintal,2026-07-21,AGMARKNET-attributed observed market data
AGM00022,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,600,2050,2601,Quintal,2026-07-22,AGMARKNET-attributed observed market data
