date,market_name,state,commodity,modal_price,month,seasonal_context,data_note
2026-06-27,Lasalgaon APMC,Maharashtra,Onion,2200,6,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-06-29,Lasalgaon APMC,Maharashtra,Onion,2225,6,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-06-30,Lasalgaon APMC,Maharashtra,Onion,2200,6,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-01,Lasalgaon APMC,Maharashtra,Onion,2200,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-02,Lasalgaon APMC,Maharashtra,Onion,2175,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-03,Lasalgaon APMC,Maharashtra,Onion,2200,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-04,Lasalgaon APMC,Maharashtra,Onion,2251,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-06,Lasalgaon APMC,Maharashtra,Onion,2250,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-07,Lasalgaon APMC,Maharashtra,Onion,2250,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-08,Lasalgaon APMC,Maharashtra,Onion,2260,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-09,Lasalgaon APMC,Maharashtra,Onion,2200,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-10,Lasalgaon APMC,Maharashtra,Onion,2051,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-11,Lasalgaon APMC,Maharashtra,Onion,2151,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-13,Lasalgaon APMC,Maharashtra,Onion,2200,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-14,Lasalgaon APMC,Maharashtra,Onion,2175,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-15,Lasalgaon APMC,Maharashtra,Onion,2200,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-16,Lasalgaon APMC,Maharashtra,Onion,2370,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-17,Lasalgaon APMC,Maharashtra,Onion,2250,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-18,Lasalgaon APMC,Maharashtra,Onion,2200,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-20,Lasalgaon APMC,Maharashtra,Onion,2150,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-21,Lasalgaon APMC,Maharashtra,Onion,2051,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-22,Lasalgaon APMC,Maharashtra,Onion,2050,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-23,Lasalgaon APMC,Maharashtra,Onion,2100,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-24,Lasalgaon APMC,Maharashtra,Onion,2100,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-27,Lasalgaon APMC,Maharashtra,Onion,2100,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-28,Lasalgaon APMC,Maharashtra,Onion,2110,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-29,Lasalgaon APMC,Maharashtra,Onion,2000,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-30,Lasalgaon APMC,Maharashtra,Onion,2151,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
2026-07-31,Lasalgaon APMC,Maharashtra,Onion,2100,7,NON_PEAK_OR_OTHER_SEASON,CONTEXTUAL_RULE_NOT_CAUSAL_FORECAST
