state,district,market,commodity,date,arrivals_quantity,arrivals_7d_avg,supply_pressure_index,pressure_level,data_status
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-06-27,2222.22,2222.22,100.0,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-06-29,2201.83,2212.02,99.54,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-06-30,2222.22,2215.42,100.31,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-01,2222.22,2217.12,100.23,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-02,2242.99,2222.3,100.93,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-03,2222.22,2222.28,100.0,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-04,2181.03,2216.39,98.4,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-06,2181.82,2210.62,98.7,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-07,2181.82,2207.76,98.83,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-08,2173.91,2200.86,98.78,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-09,2222.22,2200.86,100.97,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-10,2352.02,2216.43,106.12,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-11,2263.3,2222.3,101.84,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-13,2222.22,2228.19,99.73,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-14,2242.99,2236.93,100.27,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-15,2222.22,2242.7,99.09,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-16,2090.59,2230.79,93.72,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-17,2181.82,2225.02,98.06,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,2026-07-18,2222.22,2206.48,100.71,NORMAL,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS
