district,date,rainfall_mm,temp_max,temp_min,humidity,wind_speed,forecast_source,weather_risk_score,risk_level,data_status
Nashik,2026-06-27,4.6,23.5,19.2,62.3,9.8,CURATED_HISTORICAL_WEATHER_SCENARIO,78.4,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-06-28,2.2,23.7,19.0,65.6,9.6,CURATED_HISTORICAL_WEATHER_SCENARIO,65.2,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-06-29,4.4,24.0,18.8,68.7,9.4,CURATED_HISTORICAL_WEATHER_SCENARIO,79.6,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-06-30,4.8,24.3,18.6,71.6,9.0,CURATED_HISTORICAL_WEATHER_SCENARIO,82.6,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-01,2.6,24.6,18.4,74.1,8.6,CURATED_HISTORICAL_WEATHER_SCENARIO,69.8,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-02,4.1,24.9,18.2,76.2,8.2,CURATED_HISTORICAL_WEATHER_SCENARIO,79.1,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-03,4.9,25.3,18.0,77.8,7.7,CURATED_HISTORICAL_WEATHER_SCENARIO,83.7,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-04,3.0,25.6,17.7,79.1,7.1,CURATED_HISTORICAL_WEATHER_SCENARIO,71.8,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-05,3.8,26.0,17.5,79.8,6.5,CURATED_HISTORICAL_WEATHER_SCENARIO,75.7,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-06,5.0,26.4,17.3,80.0,5.9,CURATED_HISTORICAL_WEATHER_SCENARIO,81.8,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-07,3.4,26.8,17.1,79.7,5.3,CURATED_HISTORICAL_WEATHER_SCENARIO,70.8,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-08,3.4,27.2,16.9,78.9,5.3,CURATED_HISTORICAL_WEATHER_SCENARIO,70.4,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-09,5.0,27.6,16.7,77.6,5.9,CURATED_HISTORICAL_WEATHER_SCENARIO,80.6,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-10,3.8,28.0,16.6,75.9,6.5,CURATED_HISTORICAL_WEATHER_SCENARIO,73.8,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-11,3.1,28.4,16.4,73.7,7.1,CURATED_HISTORICAL_WEATHER_SCENARIO,69.6,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-12,4.9,28.7,16.3,71.2,7.7,CURATED_HISTORICAL_WEATHER_SCENARIO,80.4,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-13,4.1,29.1,16.2,68.3,8.2,CURATED_HISTORICAL_WEATHER_SCENARIO,75.2,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-14,2.7,29.4,16.1,65.1,8.6,CURATED_HISTORICAL_WEATHER_SCENARIO,66.0,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-15,4.8,29.7,16.0,61.8,9.0,CURATED_HISTORICAL_WEATHER_SCENARIO,77.7,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-16,4.4,30.0,16.0,58.3,9.4,CURATED_HISTORICAL_WEATHER_SCENARIO,74.4,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-17,2.2,30.3,16.0,55.3,9.6,CURATED_HISTORICAL_WEATHER_SCENARIO,60.0,MEDIUM,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-18,4.6,30.5,16.0,58.8,9.8,CURATED_HISTORICAL_WEATHER_SCENARIO,76.6,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-19,4.6,30.7,16.1,62.3,10.0,CURATED_HISTORICAL_WEATHER_SCENARIO,78.8,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-20,2.2,30.8,16.1,65.6,10.0,CURATED_HISTORICAL_WEATHER_SCENARIO,66.0,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-21,4.4,30.9,16.2,68.8,10.0,CURATED_HISTORICAL_WEATHER_SCENARIO,80.8,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-22,4.8,31.0,16.3,71.6,9.9,CURATED_HISTORICAL_WEATHER_SCENARIO,84.4,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-23,2.6,31.0,16.4,74.1,9.7,CURATED_HISTORICAL_WEATHER_SCENARIO,72.0,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-24,4.1,31.0,16.6,76.2,9.4,CURATED_HISTORICAL_WEATHER_SCENARIO,81.5,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-25,4.9,30.9,16.8,77.9,9.1,CURATED_HISTORICAL_WEATHER_SCENARIO,86.6,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-26,3.0,30.8,16.9,79.1,8.7,CURATED_HISTORICAL_WEATHER_SCENARIO,74.9,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-27,3.8,30.7,17.1,79.8,8.2,CURATED_HISTORICAL_WEATHER_SCENARIO,79.1,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-28,5.0,30.5,17.3,80.0,7.7,CURATED_HISTORICAL_WEATHER_SCENARIO,85.4,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-29,3.4,30.3,17.5,79.7,7.2,CURATED_HISTORICAL_WEATHER_SCENARIO,74.6,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-30,3.5,30.1,17.8,78.9,6.6,CURATED_HISTORICAL_WEATHER_SCENARIO,73.6,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-07-31,5.0,29.8,18.0,77.6,6.0,CURATED_HISTORICAL_WEATHER_SCENARIO,80.8,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-01,3.8,29.5,18.2,75.9,5.4,CURATED_HISTORICAL_WEATHER_SCENARIO,71.6,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-02,3.1,29.2,18.4,73.7,5.2,CURATED_HISTORICAL_WEATHER_SCENARIO,65.9,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-03,4.9,28.9,18.6,71.1,5.9,CURATED_HISTORICAL_WEATHER_SCENARIO,76.8,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-04,4.1,28.5,18.8,68.3,6.5,CURATED_HISTORICAL_WEATHER_SCENARIO,71.8,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-05,2.7,28.1,19.0,65.1,7.0,CURATED_HISTORICAL_WEATHER_SCENARIO,62.8,MEDIUM,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-06,4.8,27.8,19.2,61.7,7.6,CURATED_HISTORICAL_WEATHER_SCENARIO,74.8,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-07,4.4,27.4,19.4,58.2,8.1,CURATED_HISTORICAL_WEATHER_SCENARIO,71.7,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-08,2.3,27.0,19.5,55.3,8.6,CURATED_HISTORICAL_WEATHER_SCENARIO,58.6,MEDIUM,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-09,4.7,26.6,19.7,58.9,9.0,CURATED_HISTORICAL_WEATHER_SCENARIO,75.6,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-10,4.6,26.2,19.8,62.3,9.3,CURATED_HISTORICAL_WEATHER_SCENARIO,77.4,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-11,2.2,25.8,19.9,65.7,9.6,CURATED_HISTORICAL_WEATHER_SCENARIO,65.2,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-12,4.4,25.4,19.9,68.8,9.8,CURATED_HISTORICAL_WEATHER_SCENARIO,80.4,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-13,4.8,25.1,20.0,71.6,9.9,CURATED_HISTORICAL_WEATHER_SCENARIO,84.4,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-14,2.6,24.7,20.0,74.1,10.0,CURATED_HISTORICAL_WEATHER_SCENARIO,72.6,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-15,4.2,24.4,20.0,76.2,10.0,CURATED_HISTORICAL_WEATHER_SCENARIO,83.3,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-16,4.9,24.1,20.0,77.9,9.9,CURATED_HISTORICAL_WEATHER_SCENARIO,88.2,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-17,3.0,23.8,19.9,79.1,9.7,CURATED_HISTORICAL_WEATHER_SCENARIO,76.9,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-18,3.8,23.6,19.8,79.8,9.4,CURATED_HISTORICAL_WEATHER_SCENARIO,81.5,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-19,5.0,23.4,19.7,80.0,9.1,CURATED_HISTORICAL_WEATHER_SCENARIO,88.2,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-20,3.4,23.3,19.6,79.7,8.7,CURATED_HISTORICAL_WEATHER_SCENARIO,77.6,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-21,3.5,23.1,19.5,78.9,8.3,CURATED_HISTORICAL_WEATHER_SCENARIO,77.1,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-22,5.0,23.1,19.3,77.6,7.8,CURATED_HISTORICAL_WEATHER_SCENARIO,84.4,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-23,3.7,23.0,19.1,75.8,7.3,CURATED_HISTORICAL_WEATHER_SCENARIO,74.7,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-24,3.1,23.0,18.9,73.7,6.7,CURATED_HISTORICAL_WEATHER_SCENARIO,68.9,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-25,4.9,23.0,18.7,71.1,6.1,CURATED_HISTORICAL_WEATHER_SCENARIO,77.2,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-26,4.1,23.1,18.5,68.2,5.5,CURATED_FORECAST_WEATHER_SCENARIO,69.7,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-27,2.7,23.2,18.3,65.1,5.1,CURATED_FORECAST_WEATHER_SCENARIO,59.0,MEDIUM,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-28,4.8,23.4,18.1,61.7,5.8,CURATED_FORECAST_WEATHER_SCENARIO,71.2,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-29,4.4,23.6,17.9,58.2,6.4,CURATED_FORECAST_WEATHER_SCENARIO,68.3,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-30,2.3,23.8,17.6,55.3,7.0,CURATED_FORECAST_WEATHER_SCENARIO,55.4,MEDIUM,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-08-31,4.7,24.0,17.4,58.9,7.5,CURATED_FORECAST_WEATHER_SCENARIO,72.6,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
Nashik,2026-09-01,4.6,24.3,17.2,62.4,8.0,CURATED_FORECAST_WEATHER_SCENARIO,74.8,HIGH,CURATED_SCENARIO_NOT_IMD_LIVE
