record_id,market_id,market_name,state,district,commodity,standard_commodity,variety,min_price,modal_price,max_price,standard_unit,date,source
AGM00001,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700.0,2200.0,2551.0,Quintal,2026-06-27,AGMARKNET-attributed observed market data
AGM00002,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700.0,2225.0,2626.0,Quintal,2026-06-29,AGMARKNET-attributed observed market data
AGM00003,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,800.0,2200.0,2652.0,Quintal,2026-06-30,AGMARKNET-attributed observed market data
AGM00004,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,800.0,2200.0,2640.0,Quintal,2026-07-01,AGMARKNET-attributed observed market data
AGM00005,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700.0,2175.0,2740.0,Quintal,2026-07-02,AGMARKNET-attributed observed market data
AGM00006,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700.0,2200.0,2700.0,Quintal,2026-07-03,AGMARKNET-attributed observed market data
AGM00007,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,800.0,2251.0,2700.0,Quintal,2026-07-04,AGMARKNET-attributed observed market data
AGM00008,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,800.0,2250.0,2753.0,Quintal,2026-07-06,AGMARKNET-attributed observed market data
AGM00009,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700.0,2250.0,2700.0,Quintal,2026-07-07,AGMARKNET-attributed observed market data
AGM00010,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700.0,2260.0,2700.0,Quintal,2026-07-08,AGMARKNET-attributed observed market data
AGM00011,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700.0,2200.0,2700.0,Quintal,2026-07-09,AGMARKNET-attributed observed market data
AGM00012,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,600.0,2051.0,2651.0,Quintal,2026-07-10,AGMARKNET-attributed observed market data
AGM00013,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700.0,2151.0,2591.0,Quintal,2026-07-11,AGMARKNET-attributed observed market data
AGM00014,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700.0,2200.0,2700.0,Quintal,2026-07-13,AGMARKNET-attributed observed market data
AGM00015,M001,Lasalgaon APMC,Maharashtra,Nashik,Onion,Onion,Unhali,700.0,2175.0,2701.0,Quintal,2026-07-14,AGMARKNET-attributed observed market data
