state,district,market,commodity,variety,arrivals_quantity,unit,date,source
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-06-27,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2201.83,Quintal,2026-06-29,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-06-30,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-01,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2242.99,Quintal,2026-07-02,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-03,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2181.03,Quintal,2026-07-04,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2181.82,Quintal,2026-07-06,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2181.82,Quintal,2026-07-07,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2173.91,Quintal,2026-07-08,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-09,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2352.02,Quintal,2026-07-10,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2263.3,Quintal,2026-07-11,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-13,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2242.99,Quintal,2026-07-14,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-15,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2090.59,Quintal,2026-07-16,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2181.82,Quintal,2026-07-17,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-07-18,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2264.15,Quintal,2026-07-20,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2352.02,Quintal,2026-07-21,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2352.94,Quintal,2026-07-22,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2307.69,Quintal,2026-07-23,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2307.69,Quintal,2026-07-24,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2307.69,Quintal,2026-07-27,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2298.85,Quintal,2026-07-28,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2400.0,Quintal,2026-07-29,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2263.3,Quintal,2026-07-30,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2307.69,Quintal,2026-07-31,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2352.94,Quintal,2026-08-01,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-04,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2181.03,Quintal,2026-08-06,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2222.22,Quintal,2026-08-07,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2238.81,Quintal,2026-08-08,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,2086.96,Quintal,2026-08-10,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1883.83,Quintal,2026-08-12,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1804.51,Quintal,2026-08-13,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1780.42,Quintal,2026-08-14,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1554.4,Quintal,2026-08-17,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1428.57,Quintal,2026-08-18,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
Maharashtra,Nashik,Lasalgaon APMC,Onion,Unhali,1463.41,Quintal,2026-08-19,DERIVED_PROXY_FROM_PRICE_NOT_OFFICIAL_ARRIVALS
