state,apmc,commodity,min_price,modal_price,max_price,commodity_arrivals,commodity_traded,unit,date
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1200,4000,4552,,,Quintal,2026-08-25
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1200,4300,4712,,,Quintal,2026-08-24
Maharashtra,Lasalgaon APMC,Onion,1000,3951,4280,,,Quintal,2026-08-22
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,3700,4020,,,Quintal,2026-08-22
Maharashtra,Lasalgaon APMC,Onion,1000,3700,4321,,,Quintal,2026-08-21
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,3600,4101,,,Quintal,2026-08-21
Maharashtra,Lasalgaon APMC,Onion,900,3551,4101,,,Quintal,2026-08-20
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,3450,3952,,,Quintal,2026-08-20
Maharashtra,Lasalgaon APMC,Onion,1000,3600,4000,,,Quintal,2026-08-19
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,3600,4001,,,Quintal,2026-08-19
Maharashtra,Lasalgaon APMC,Onion,1000,3700,4051,,,Quintal,2026-08-18
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1200,3700,4116,,,Quintal,2026-08-18
Maharashtra,Lasalgaon APMC,Onion,1000,3360,3641,,,Quintal,2026-08-17
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,3250,3521,,,Quintal,2026-08-17
Maharashtra,Lasalgaon APMC,Onion,800,2870,3202,,,Quintal,2026-08-14
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,2900,3251,,,Quintal,2026-08-14
Maharashtra,Lasalgaon APMC,Onion,800,2825,3160,,,Quintal,2026-08-13
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,1000,2775,3200,,,Quintal,2026-08-13
Maharashtra,Lasalgaon APMC,Onion,800,2685,3001,,,Quintal,2026-08-12
Maharashtra,Lasalgaon(Vinchur) APMC,Onion,900,2575,2953,,,Quintal,2026-08-12
