market_id,canonical_market_name,alias,status
M007,Ahmednagar APMC,Ahmednagar,ACTIVE
M001,Lasalgaon APMC,Lasalgaon,ACTIVE
M004,Lasalgaon (Vinchur) APMC,Lasalgaon (Vinchur) APMC,ACTIVE
M001,Lasalgaon APMC,Lasalgaon APMC,ACTIVE
M004,Lasalgaon (Vinchur) APMC,Lasalgaon(Vinchur) APMC,ACTIVE
M003,Nashik APMC,Nashik,ACTIVE
M003,Nashik APMC,Nashik APMC,ACTIVE
M002,Pimpalgaon Baswant APMC,Pimpalgaon Baswant,ACTIVE
M002,Pimpalgaon Baswant APMC,Pimpalgaon Baswant APMC,ACTIVE
M005,Pune APMC,Pune,ACTIVE
M005,Pune APMC,Pune APMC,ACTIVE
M006,Solapur APMC,Solapur,ACTIVE
M008,Vashi APMC,Vashi,ACTIVE
