status_domain,status_value,normalized_value,status
acquisition_status,SCHEMA_VERIFIED_MANUAL_ACQUISITION,SCHEMA_VERIFIED_MANUAL_ACQUISITION,ACTIVE
cache_status,VALID,VALID,ACTIVE
certificate_status,DEMO,DEMO,ACTIVE
certificate_status,NOT_ASSAYED,NOT_ASSAYED,ACTIVE
data_status,CURATED_DEMO_FLOW,CURATED_DEMO_FLOW,ACTIVE
data_status,CURATED_SCENARIO_NOT_IMD_LIVE,CURATED_SCENARIO_NOT_IMD_LIVE,ACTIVE
data_status,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS,DERIVED_PROXY_NOT_OFFICIAL_ARRIVALS,ACTIVE
data_status,MIXED_REAL_AND_DERIVED,MIXED_REAL_AND_DERIVED,ACTIVE
data_status,OBSERVED,OBSERVED,ACTIVE
decision_status,ACCEPTED,ACCEPTED,ACTIVE
decision_status,REJECTED,REJECTED,ACTIVE
delivery_proof_status,PENDING,PENDING,ACTIVE
delivery_proof_status,VERIFIED_DEMO,VERIFIED_DEMO,ACTIVE
feasibility_status,FEASIBLE,FEASIBLE,ACTIVE
feasibility_status,NEEDS_ROUTE_OR_COST_DATA,NEEDS_ROUTE_OR_COST_DATA,ACTIVE
freshness_status,NOT_LIVE_IMD,NOT_LIVE_IMD,ACTIVE
freshness_status,NOT_OFFICIAL,NOT_OFFICIAL,ACTIVE
freshness_status,STALE_FOR_LIVE_DECISIONS,STALE_FOR_LIVE_DECISIONS,ACTIVE
freshness_status,VERIFY_SCENARIO_ROWS,VERIFY_SCENARIO_ROWS,ACTIVE
match_status,POTENTIAL,POTENTIAL,ACTIVE
normalization_status,COMPLETE,COMPLETE,ACTIVE
outcome_status,RESOLVED,RESOLVED,ACTIVE
review_status,PENDING_REVIEW,PENDING_REVIEW,ACTIVE
risk_status,LOW,LOW,ACTIVE
risk_status,MEDIUM,MEDIUM,ACTIVE
route_status,ACTIVE_DEMO,ACTIVE_DEMO,ACTIVE
status,ACTIVE,ACTIVE,ACTIVE
status,ASSIGNED,ASSIGNED,ACTIVE
status,AVAILABLE,AVAILABLE,ACTIVE
status,CHECKED,CHECKED,ACTIVE
status,COMPLETED,COMPLETED,ACTIVE
status,DELIVERED,DELIVERED,ACTIVE
status,DISPUTED,DISPUTED,ACTIVE
status,DRAFT,DRAFT,ACTIVE
status,FEASIBLE_AFTER_RESOLUTION,FEASIBLE_AFTER_RESOLUTION,ACTIVE
status,FRESH,FRESH,ACTIVE
status,IN_TRANSIT,IN_TRANSIT,ACTIVE
status,LIMITED,LIMITED,ACTIVE
status,LOGISTICS_CONFIRMED,LOGISTICS_CONFIRMED,ACTIVE
status,LOT_CREATED,LOT_CREATED,ACTIVE
status,OFFER_ACCEPTED,OFFER_ACCEPTED,ACTIVE
status,OFFER_SENT,OFFER_SENT,ACTIVE
status,OPEN,OPEN,ACTIVE
status,OPPORTUNITY_MATCHED,OPPORTUNITY_MATCHED,ACTIVE
status,PAYMENT_PENDING,PAYMENT_PENDING,ACTIVE
status,PENDING,PENDING,ACTIVE
status,PENDING_REVALIDATION,PENDING_REVALIDATION,ACTIVE
status,PRESENT,PRESENT,ACTIVE
status,QUEUED,QUEUED,ACTIVE
status,RECOMMENDED,RECOMMENDED,ACTIVE
status,REJECTED,REJECTED,ACTIVE
status,RESOLVED,RESOLVED,ACTIVE
status,SCHEDULED,SCHEDULED,ACTIVE
status,SHORTLISTED,SHORTLISTED,ACTIVE
status,STALE,STALE,ACTIVE
status,SUCCESS,SUCCESS,ACTIVE
status,UNDER_REVIEW,UNDER_REVIEW,ACTIVE
status,VALID,VALID,ACTIVE
structural_status,VALID,VALID,ACTIVE
verification_status,DEMO_VERIFIED,DEMO_VERIFIED,ACTIVE
verification_status,OFFICIAL_VERIFICATION_REQUIRED,OFFICIAL_VERIFICATION_REQUIRED,ACTIVE
verification_status,PENDING_REVIEW,PENDING_REVIEW,ACTIVE
verification_status,VERIFIED_DEMO,VERIFIED_DEMO,ACTIVE
